,text,meta,_input_hash,_task_hash,label,score,priority,spans,_session_id,_view_id,answer,options,accept,class,len
44,"These innovative products will feature simplified benefitstructures and an improved consumer experience. Central to these new products will be access to helpfuldigital tools with clear information about health care resources, coverage and costs. We intend to use ourexperience with these new products as preparation for a broader rollout in the future as we continue ourjourney to help reshape the Health Care system.","{'meta': 'Aetna Inc., Q3 2015 Earnings Call, Oct 29, 2015'}",778859167,85621831,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Plan'],Plan,1
45,"The other question for you. Lars Christian BacherExecutive VP & CFOOn digitalization and the impact of it. We have a sort of a big program internally of aggregating all theimprovement initiatives, impressed by still all the ideas that are coming up in the organization.","{'meta': 'Equinor ASA, Q4 2018 Earnings Call, Feb 06, 2019'}",1598570613,-1681383380,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Pilot'],Pilot,1
46,"so -- yes, we are seeing a increase in the diversity, I think, across the hyperscalers with the kinds ofsolutions they want, including GPU-based designs, non-x86 designs where we've partnered with AmpereComputing. FPGA, GPU, as you mentioned, as well as more enterprise workloads like SAP HANA movingto the cloud. We're also starting to see demand for 4-socket and 8-socket machines as well where someof the more mission-critical workloads are moving from on-prem to the public cloud.","{'meta': 'Lenovo Group Limited, Q3 2019 Earnings Call, Feb 20, 2019'}",1309997682,-2069545785,,,,,,choice,reject,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Pilot'],Pilot,1
47,"I couldn't believe my eyes when I heard the statistics from the U.K. In the U.K., if you take all themessaging apps, so Facebook, WhatsApp, whatever, Google, whatever, 75% of the traffic today isSnapchat, which means that the upload and the different way of communicating is actually stimulating alot of usage, which is why we are convinced that our strategy was right in going into bundling mobile andvideo. And the result is shown on this picture, where we have today 54% of customers using data.","{'meta': 'Vodafone Group Public Limited Company, 2015 Earnings Call, May 19, 2015'}",-28436,1714066018,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Release'],Release,1
48,"so this is clearly trending inthe right direction. On top of that, as Bill mentioned, towards the end of the quarter, we completed themigration of the entire SAP SuccessFactors customer base from third-party databases to SAP HANA.Just to give you an idea of the scale of what we have been moving here, we have moved thousands ofcustomers and more than 1 terabyte of customer data as part of the migration. We redeveloped more than1,000 store procedures and we migrated more than 90,000 customer reports to the new environment.","{'meta': 'SAP SE, Q1 2019 Earnings Call, Apr 24, 2019'}",-1566525514,154992151,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Release'],Release,1
49,"I think that just reflects the progress we are making stepby step to improve the profitability of the group. If I turn to Slide 5, again, these results, I think, are the results of a profound transformation, which hastaken place in the last 5 years and that we will pursue. We have refocused our businesses, in particular,on the corporate and investment banking division as well in the specialized financing services with thedisposal of nonstrategic activities as well as the announcement of other activities and with some bolt-onacquisitions.","{'meta': 'Societe Generale Group, Q3 2016 Earnings Call, Nov 03, 2016'}",8679238,919965288,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Release'],Release,1
50,"Within Europe consumer, revenues in Germany, the U.K. and other Europe, which represent 1/3of the group, contributed 1 percentage point to overall growth with good momentum in both fixed andmobile. Vodafone Business continued to grow as the strong performance in fixed offset challenges inmobile. In Emerging Consumer, data revenues increased as we monetize strong traffic growth and pricesrose with inflation.","{'meta': 'Vodafone Group Plc, 2019 Earnings Call, May 14, 2019'}",-545474094,301514743,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Release'],Release,1
51,"We expanded our globaldata center footprint to 54 regions, more than any other cloud provider, and with the most comprehensivecompliance coverage in the industry. We added nearly 500 new Azure capabilities in the last year alone,focused on both existing workloads and new workloads such as IoT and AI at the edge. We introduced Azure Stack and Azure Sphere, 2 first-of-their-kind cloud to edge solutions that are alreadyseeing strong customer demand.","{'meta': 'Microsoft Corporation, Q4 2018 Earnings Call, Jul 19, 2018'}",-1995054663,133815269,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Release'],Release,1
52,"This is Jason Shin from Foundry business. In the fourth quarter, Foundry earnings declineddue to sluggish demand for mining chips as the cryptocurrency market continued to shrink, and as aresult of slowing orders for AP as the Chinese smartphone market entered a slow season. Positively, our7-nano EUV process won a new contract for next-generation CPU for IBM servers, demonstrating marketSAMSUNG ELECTRONICS CO., LTD.","{'meta': 'Samsung Electronics Co., Ltd., Q4 2018 Earnings Call, Jan 31, 2019'}",-1067435813,1003098555,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Release'],Release,1
53,"And a few key points, it has a lot of advanced -- on the hardware side,it's -- call it, the next evolution of the camera technology. As Vince mentioned, the next step in the chips,high software content infusion of different features coming together in the camera, obviously, leading tothe testing and validation scope being much higher in terms of the requirements. I would say those arethe key points that contribute mostly to what we discussed today.","{'meta': 'Magna International Inc., Q1 2019 Earnings Call, May 09, 2019'}",500762542,796756925,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Plan'],Plan,1
54,"Business model transformationexpenses in this third quarter were JPY 5.8 billion, a portion of the cost related to the shift towards digitalservices in Europe were recorded beginning in the third quarter. Excluding business model transformationexpenses, on a regular business basis, profit fell by JPY 3.6 billion. In Japan, increases in operating profitwere achieved in both Infrastructure Services and our Systems Integration business due to the effects","{'meta': 'Fujitsu Limited, Q3 2017 Earnings Call, Jan 31, 2017'}",-933801333,1833212443,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Pilot'],Pilot,1
55,That's it. They've added one new database. They'veadded a more modern UI.,"{'meta': 'Oracle Corporation, Q3 2015 Earnings Call, Mar 17, 2015'}",589591341,-829065545,,,,,,choice,reject,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",[],NA,0
56,"Our 4 priorities therefore remain intact: Creating a simpler, better balance bank; focusing where we canwin; building a better experience for customers to compete in the digital age; and driving a purpose andvalues-led transformation. The benefits of simplification are already evident, and they provide financial and executive bandwidth toinvest more heavily in digitization and growth. The pace and quality of execution remained high.","{'meta': 'Australia and New Zealand Banking Group Limited, H1 2017 Earnings Call, May 02, 2017'}",1351782506,1021725774,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Pilot'],Pilot,1
57,"[Foreign Language] Regarding the qualification process, we are continuing the qualification processfor servers as well as mobile customers, and we expect that the share of 1y in both mobile and serverapplications will increase throughout 2019. Based on our technology leadership, we will continue to offerour cutting-edge process technology advantages, not only to our major customers but new customersoverall.","{'meta': 'Samsung Electronics Co., Ltd., Q4 2018 Earnings Call, Jan 31, 2019'}",-1802133482,916575875,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Advanced'],Advanced,1
58,"For example, we will be aligning our software-defined storage strategy to VSAN, offering VxRail andVxRack SDDC.We started shipping the enhanced midrange storage products we announced in November and expandedthe Future-Proof Storage Loyalty Program to all of our storage products shortly after it launched. Lastly, we've increased collaboration across our strategically aligned businesses to leverage our collectivestrength and to build better solutions for things like cloud, software-defined storage, software-defined datacenter, infrastructure as a service and hyperconverged infrastructure. A simpler organization with simplerportfolios and targeted solutions means faster decisions and faster innovation.","{'meta': 'Dell Technologies Inc., Q4 2018 Earnings Call, Mar 08, 2018'}",-324348551,1581645579,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Release'],Release,1
59,"Our combined cloud and software gross margin was 83.7%, up 40 basis points year-over-year. The strongperformance in our core business overcompensated the usual mix shift effect that you would expect to seefrom the cloud business on our cloud and software gross margin. Our services gross margin was down by 5.5% year-over-year to 17.9%.","{'meta': 'SAP SE, Q2 2016 Earnings Call, Jul 20, 2016'}",1014074074,690043367,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Release'],Release,1
60,"we originally said when we made the acquisitions. In terms of content costs, yes, I think this is anindustry issue where increased cost of programming continues to outpace increased revenue growth onthe video side. So this is a problem that we collectively face as an industry, but we're very focused hereon stemming that trend with the launch of our home entertainment hub center, where we think the userexperience will materially change the perception of our video product going forward.","{'meta': 'Altice N.V., SFR Group SA, Q1 2017 Earnings Call, May 11, 2017'}",109491449,1540194712,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Pilot'],Pilot,1
61,"Fit on the best networks, the B2B proposal evolves towardscustomer-centric end-to-end solutions with operational excellence. Let me just highlight cloud and securityservices and our virtualized IoT platform, widely awarded and considered as an industry reference. Moving to Slide 7.","{'meta': 'Telefonica, S.A., Q2 2019 Earnings Call, Jul 25, 2019'}",943275166,-1166075602,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Release'],Release,1
62,"and that's showing up in the marketplace. And also, if you look at our cloud stack, we have application and infrastructure, data and AI, productivityand collaboration as well as business applications , that's pretty unique again.","{'meta': 'Microsoft Corporation, Q3 2019 Earnings Call, Apr 24, 2019'}",-232937068,-599240495,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Advanced'],Advanced,1
63,"John L. FlanneryFormer Chairman & CEOI'd just add, Scott, on that. Just as a matter of philosophy, I'm deeply committed to the philosophy thatthe Corporate center should be significantly smaller and really focused only on governance, on talent, oncapital allocation strategy. So a radical resizing of what it's been in the past.","{'meta': 'General Electric Company, Q2 2018 Earnings Call, Jul 20, 2018'}",1804196962,-1977446296,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Plan'],Plan,1
64,"First, the rollout of our newly launched Barclays Assistant, which our customers access through FacebookMessenger. This chatbot technology is designed to help the most common questions about our services. Deploying cutting-edge artificial intelligence software, customers start online to chat with us aboutanything from making payments to changing personal details, to identifying fraud.","{'meta': 'Barclays PLC, H1 2018 Earnings Call, Aug 02, 2018'}",-1736788153,477100167,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Release'],Release,1
65,"One, this is much beyond --we showed the automation because that's -- it's easy to see you, and you can take a video of it.","{'meta': 'Target Corporation, Q4 2019 Earnings Call, Mar 05, 2019'}",864697645,1591284516,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Release'],Release,1
66,"doctors using specialized equipment and dedicated nursing staff at a center clinic. All thosemeasures are focused on driving higher admissions via enhanced better internal and external acceptanceof our clustering strategy, while further improving medical quality. Moreover, we're calibrating our initiatives to reduce our patient's length of stay, obviously withoutsacrificing, jeopardizing, medical quality, but with a less crude, more risk-oriented approach.","{'meta': 'Fresenius SE  Co. KGaA, 2018 Earnings Call, Feb 20, 2019'}",-217350042,309296807,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Pilot'],Pilot,1
67,it easier for marketeers to connect with LinkedIn's 645 million members. And we are enabling everybusiness to drive a culture of relationship selling and take full advantage of their social networks with thecombination of Dynamics 365 and LinkedIn Sales Navigator. All this innovation contributed to anotherrecord year for LinkedIn driven by all-time high engagements across the platform.,"{'meta': 'Microsoft Corporation, Q4 2019 Earnings Call, Jul 18, 2019'}",1308409166,-1980090351,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Release'],Release,1
68,"The second action we are taking is to focus our Mobile Networks business on mobile radio products. Customers everywhere are asking for accelerated deliveries of mobile radio products and a wide range ofnew features. I am confident we can meet these needs, but it requires focus.","{'meta': 'Nokia Corporation, Q3 2018 Earnings Call, Oct 25, 2018'}",-1580870288,894947703,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Pilot'],Pilot,1
69,"Again, HPC, as Randy asked earlier, it's really in the initialgrowth period. It's very difficult to forecast the TAM in 2020, but I can see what -- today, the HPC sector, Iinclude server, networking storage and gaming. We recently added into AR and VR, which has just started.","{'meta': 'Taiwan Semiconductor Manufacturing Company Limited, Q2 2017 Earnings Call, Jul 13, 2017'}",-1105366815,228543477,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Pilot'],Pilot,1
70,"As networks cloudify, Intel is in a great position to win this base station segment,where we expect to grow to 40% market segment share by 2022. The vast majority of the 5G marketopportunity and profit is in the transformation of network and edge infrastructure where we are now laserfocused. Next, accelerating innovation.","{'meta': 'Intel Corporation, Q1 2019 Earnings Call, Apr 25, 2019'}",-226648861,-1898732757,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Release'],Release,1
71,"In the future, we will develop metrics that measure our progress in the cross-border importefforts such as Tmall Global progress. Cloud computing and Internet infrastructure revenue grew 128% year-on-year, primarily due to anincrease in the number of paying customers and also to an increase in their usage of our cloud computingservices, including more complex offerings, such as our content delivery network and database services. Other revenue is flat year-on-year due to a tough comparison to September quarter 2014, when webooked interest income from the SME loan business to this line.","{'meta': 'Alibaba Group Holding Limited, Q2 2016 Earnings Call, Oct 27, 2015'}",1151431500,-1066961463,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Release'],Release,1
72,"We're the fastest growing scaled cloud business in the world, and that is on top -- that growthrate is on top of last year's 60%.In ERP, we were up 280% organically, and with NetSuite, ERP is now our largest pillar. Fusion HCM wasup 106%.","{'meta': 'Oracle Corporation, Q3 2017 Earnings Call, Mar 15, 2017'}",1215295224,2130301324,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Release'],Release,1
