Text,Meta
"I mean, yes, I can understandwhy you might say that we should kind of run it for cash, but one of the features of shale, which I thinkwe've grown to like a bit less with time and see it a bit more of a curse, is that the investments that aredemanded there are quite procyclical. You have to continue to invest to actually maintain the value ofthose businesses.","BHP Group, 2017 Earnings Call, Aug 22, 2017"
"At this time, I would like to provide more details about developments in major markets. In Japan, automobile sales totaled 725,000 units, a 2% increase. The N-BOX series was the top-sellingmodel in Japan for fiscal year 2018.","Honda Motor Co., Ltd., 2018 Earnings Call, Apr 27, 2018"
"We're also gaining traction in machine learning tools adoption withtens of thousands of customers using Azure ML.Finally, we are innovating with new GPU and FPGA-based offerings to lead in AI infrastructure for bothtraining and inference. I'm excited to share more about our cloud and AI innovation at our developerconference next month at Build. Now to gaming.","Microsoft Corporation, Q3 2018 Earnings Call, Apr 26, 2018"
"S&P Global Inc. 9the positive impact from refinery upgrades, as we replaced it by the additives by own production. Thedecrease in transportation expenses to supply our refineries by 9% quarter-on-quarter was driven by rubleappreciation and optimization of supply logistics at our international refineries as well as lower throughputvolumes domestically. Other expenses dynamics was mainly attributable to seasonality factor.","PJSC LUKOIL, Q1 2017 Earnings Call, May 31, 2017"
"I mean I'm personally so excited about my personal holiday shopping. I have to disclose I'mgoing to buy a new drone. I bought one last year, but I'm going to buy a new one.","Best Buy Co., Inc., Q3 2017 Earnings Call, Nov 17, 2016"
"We are now to Aleksandr and value of definition,the floor is to Aleksandr. Alexander A. VedyakhinFirst Deputy Chairman of Executive Board, Senior VP & Head of the Risk Management ServiceActually, so Mr. Shlemov, thank you very much for your question about RW optimization you mentioned. Actually, in cross collaboration, this is -- it was like a project internal in the whole bank with finance, withIT, we finalized technological transformation of standardized approach of a recalculation implying caseautomation and optimization and also, as you already know","Sberbank of Russia, Q1 2018 Earnings Call, May 30, 2018"
#NAME?,"Philip Morris International Inc., Q1 2018 Earnings Call, Apr 19, 2018"
"In addition to EST, Raytheon has developed a laser-guided version and 5-inch sea-based variant of Excalibur. The last product featured at AUSA I'd like to highlight is our Stinger surface-to-air missile. This missile hasprovided superior short-range air defense since the 1970s and has had many capability enhancementsover the years.","Raytheon Company, Q3 2018 Earnings Call, Oct 25, 2018"
"Thank you. You may now disconnect.HEWLETT PACKARD ENTERPRISE COMPANY FQ3 2016 EARNINGS CALL |  SEP 07, 2016","Hewlett Packard Enterprise Company, Q3 2016 Earnings Call, Sep 07, 2016"
"Fourth quarter Cable Communications operating cash flow increased 6.4% to $5.2billion, resulting in a margin of 40.4% compared to 40.6% in the fourth quarter of 2015. The change inmargin was driven by higher expenses primarily related to programming. Programming expenses grew12.2% during the quarter, reflecting the timing of contract renewals, while the full year increased 10.1%.The underlying increases continue to be driven by higher retransmission consent fees and higher sportsprogramming costs.","Comcast Corporation, Q4 2016 Earnings Call, Jan 26, 2017"
"No, no, no, that's fair. You talked a little bit about the digital efforts, both in your press releaseand your commentary, and there's a lot in the marketplace around emerging technology ideas, arounddistribution, potential AI, and I was wondering if you could just give us an update on how you'reapproaching your global IT budget this year versus last year?","Chubb Limited, Q2 2018 Earnings Call, Jul 25, 2018"
"Two, profitable expansion. Three, innovation and transformation. We will show you how wewill improve the management of our balance sheet and allocate available cash and capital in the mostvalue-creative way possible.","Assicurazioni Generali S.p.A., H1 2018 Pre Recorded Earnings Call, Aug 01, 2018"
"Toyota Material Handling inEurope is using Azure as well as HoloLens to create a factory of the future. Using AI, drones learncomplex processes to automate the flow of a factory, increasing supply chain and warehouse efficiency. And Microsoft and ABB are partnering to push the boundaries of smart manufacturing for industrialautomation.","Microsoft Corporation, Q3 2018 Earnings Call, Apr 26, 2018"
"The $14.7 million growth inoperating revenues in the Securities segment were somewhat tempered in the resulting segment incomegrowth of $2.9 million for the current year-to-date primarily as a result of poor performance in the debttrading business in Argentina in the first quarter of this fiscal year. Finally, moving on to Slide #9, the year-to-date dashboard. I will highlight just a couple of metrics.","INTL FCStone Inc., Q2 2015 Earnings Call, May 07, 2015"
"The userexperience for Apple Pay and Siri is nothing short of incredible. And customers are enjoying countlessother features through the over 8,500 third-party apps available for Apple Watch. This is just the beginning of what this new platform can deliver.","Apple Inc., Q3 2015 Earnings Call, Jul 21, 2015"
